id,created_at,updated_at,language,name,description,is_alcoholic,category_id
1,2025-07-09 18:29:23.418+00,2025-07-09 18:29:23.418+00,ENG,151-proof demerara rum,,True,1
2,2025-07-09 18:29:23.429+00,2025-07-09 18:29:23.429+00,ENG,151-proof rum,,True,1
3,2025-07-09 18:29:23.442+00,2025-07-09 18:29:23.442+00,ENG,7-up,,False,2
4,2025-07-09 18:29:23.454+00,2025-07-09 18:29:23.454+00,ENG,99.bananas liqueur,,True,3
5,2025-07-09 18:29:23.465+00,2025-07-09 18:29:23.465+00,ENG,Absinthe,,True,4
6,2025-07-09 18:29:23.471+00,2025-07-09 18:29:23.471+00,ENG,Absinthe substitute,,True,4
7,2025-07-09 18:29:23.478+00,2025-07-09 18:29:23.478+00,ENG,Aged bacardi,,True,1
8,2025-07-09 18:29:23.488+00,2025-07-09 18:29:23.488+00,ENG,Agua ardiente,,False,5
9,2025-07-09 18:29:23.498+00,2025-07-09 18:29:23.498+00,ENG,Ale,,True,6
10,2025-07-09 18:29:23.505+00,2025-07-09 18:29:23.505+00,ENG,"Alizé de france passion fruit
liqueur",,True,3
11,2025-07-09 18:29:23.515+00,2025-07-09 18:29:23.515+00,ENG,Almond syrup,,False,7
12,2025-07-09 18:29:23.524+00,2025-07-09 18:29:23.524+00,ENG,Amaretto,,False,8
13,2025-07-09 18:29:23.53+00,2025-07-09 18:29:23.53+00,ENG,Amer picon,,True,3
14,2025-07-09 18:29:23.541+00,2025-07-09 18:29:23.541+00,ENG,Angostura,,False,9
15,2025-07-09 18:29:23.547+00,2025-07-09 18:29:23.547+00,ENG,Angostura bitter,,True,9
16,2025-07-09 18:29:23.554+00,2025-07-09 18:29:23.554+00,ENG,Angostura bitters,,True,9
17,2025-07-09 18:29:23.559+00,2025-07-09 18:29:23.559+00,ENG,Anisette,,True,3
18,2025-07-09 18:29:23.569+00,2025-07-09 18:29:23.569+00,ENG,Apple,,False,10
19,2025-07-09 18:29:23.58+00,2025-07-09 18:29:23.581+00,ENG,Apple brandy,,True,11
20,2025-07-09 18:29:23.591+00,2025-07-09 18:29:23.591+00,ENG,Apple cider,,True,12
21,2025-07-09 18:29:23.6+00,2025-07-09 18:29:23.6+00,ENG,Apple juice,,False,13
22,2025-07-09 18:29:23.607+00,2025-07-09 18:29:23.607+00,ENG,Apple peel,,False,10
23,2025-07-09 18:29:23.613+00,2025-07-09 18:29:23.613+00,ENG,Apple purée,,False,10
24,2025-07-09 18:29:23.622+00,2025-07-09 18:29:23.622+00,ENG,Apple schnapps,,True,14
25,2025-07-09 18:29:23.629+00,2025-07-09 18:29:23.629+00,ENG,Applejack,,True,11
26,2025-07-09 18:29:23.635+00,2025-07-09 18:29:23.635+00,ENG,Apricot brandy,,True,11
27,2025-07-09 18:29:23.642+00,2025-07-09 18:29:23.642+00,ENG,Apricot liqueur,,True,3
28,2025-07-09 18:29:23.648+00,2025-07-09 18:29:23.648+00,ENG,Apricot nectar,,False,10
29,2025-07-09 18:29:23.653+00,2025-07-09 18:29:23.653+00,ENG,Apricot purée,,False,10
30,2025-07-09 18:29:23.663+00,2025-07-09 18:29:23.663+00,ENG,Avocado,,False,15
31,2025-07-09 18:29:23.669+00,2025-07-09 18:29:23.669+00,ENG,Bacardi light,,True,1
32,2025-07-09 18:29:23.68+00,2025-07-09 18:29:23.68+00,ENG,Baileys irish cream,,False,16
33,2025-07-09 18:29:23.687+00,2025-07-09 18:29:23.687+00,ENG,Banana,,False,10
34,2025-07-09 18:29:23.693+00,2025-07-09 18:29:23.693+00,ENG,Banana liqueur,,True,16
