ingredient_id,ingredient_name,language,stage1_status,stage2_status,last_updated,notes
1392,Ликер  вишневый grenadine,RUS,completed,pending,2025-08-20T19:20:39.214861,
1391,Ликер темный crème de cacao,RUS,completed,pending,2025-08-20T19:20:39.368915,
1390,Ликер яблочный,RUS,completed,pending,2025-08-20T19:20:40.121422,
1389,Пахта,RUS,completed,pending,2025-08-20T19:20:41.363100,
1393,Ликер зеленый мятный,RUS,completed,pending,2025-08-20T19:20:42.064081,
1389,Пахта,RUS,pending,skipped,2025-08-20T19:20:43.075045,No subcategories available
1390,Ликер яблочный,RUS,pending,completed,2025-08-20T19:20:47.162699,
1393,Ликер зеленый мятный,RUS,pending,completed,2025-08-20T19:20:49.545225,
1391,Ликер темный crème de cacao,RUS,pending,completed,2025-08-20T19:20:49.918549,
1392,Ликер  вишневый grenadine,RUS,pending,completed,2025-08-20T19:20:50.694028,
1395,Ликер травяной benedictine d.o.m.,RUS,completed,pending,2025-08-20T19:20:56.828190,
1397,Ликер  вишневый maraschino,RUS,completed,pending,2025-08-20T19:20:56.847287,
1068,Chilled ale,ENG,completed,pending,2025-08-20T19:20:56.860577,
1396,Вермут сухой,RUS,completed,pending,2025-08-20T19:20:58.187453,
1069,Vodka (freezer-chilled),ENG,completed,pending,2025-08-20T19:21:01.333355,
1069,Vodka (freezer-chilled),ENG,pending,completed,2025-08-20T19:21:05.637459,
1395,Ликер травяной benedictine d.o.m.,RUS,pending,completed,2025-08-20T19:21:06.077309,
1397,Ликер  вишневый maraschino,RUS,pending,completed,2025-08-20T19:21:06.159723,
1068,Chilled ale,ENG,pending,completed,2025-08-20T19:21:08.106361,
1396,Вермут сухой,RUS,pending,completed,2025-08-20T19:21:09.311832,
1072,Guinness (or other irish stout),ENG,completed,pending,2025-08-20T19:21:15.233521,
1071,Lager or pale ale,ENG,completed,pending,2025-08-20T19:21:15.888611,
1073,Chilled champagne,ENG,completed,pending,2025-08-20T19:21:15.947064,
1070,Chilled lager or ale,ENG,completed,pending,2025-08-20T19:21:16.568438,
1074,Chilled beer,ENG,completed,pending,2025-08-20T19:21:17.614119,
1073,Chilled champagne,ENG,pending,skipped,2025-08-20T19:21:18.621156,No subcategories available
1074,Chilled beer,ENG,pending,completed,2025-08-20T19:21:22.333511,
1071,Lager or pale ale,ENG,pending,completed,2025-08-20T19:21:22.811635,
1072,Guinness (or other irish stout),ENG,pending,completed,2025-08-20T19:21:24.036292,
1070,Chilled lager or ale,ENG,pending,completed,2025-08-20T19:21:25.594491,
1076,"Sake (preferably momokawa
diamond)",ENG,completed,pending,2025-08-20T19:21:31.590083,
1078,"Puréed white peaches (or regular
peaches)",ENG,completed,pending,2025-08-20T19:21:31.608431,
1077,"Fresh mint leaves (preferably
japanese shiso mint)",ENG,completed,pending,2025-08-20T19:21:33.895974,
1079,Slices fresh ginger,ENG,completed,pending,2025-08-20T19:21:33.915367,
1075,Silver or gold rum,ENG,completed,pending,2025-08-20T19:21:34.095698,
1077,"Fresh mint leaves (preferably
japanese shiso mint)",ENG,pending,skipped,2025-08-20T19:21:35.105594,No subcategories available
1078,"Puréed white peaches (or regular
peaches)",ENG,pending,skipped,2025-08-20T19:21:35.105860,No subcategories available
1076,"Sake (preferably momokawa
diamond)",ENG,pending,skipped,2025-08-20T19:21:35.106095,No subcategories available
1079,Slices fresh ginger,ENG,pending,skipped,2025-08-20T19:21:35.103394,No subcategories available
1075,Silver or gold rum,ENG,pending,completed,2025-08-20T19:21:38.714421,
1083,Dry vermouth,ENG,completed,pending,2025-08-20T19:21:44.545242,
1084,Good-quality sake,ENG,completed,pending,2025-08-20T19:21:45.344607,
1080,E fresh lime juice,ENG,completed,pending,2025-08-20T19:21:45.484891,
1082,"High-quality gin (such as bombay
sapphire)",ENG,completed,pending,2025-08-20T19:21:45.742961,
1081,Pineappleb,ENG,completed,pending,2025-08-20T19:21:46.499354,
1084,Good-quality sake,ENG,pending,skipped,2025-08-20T19:21:47.509013,No subcategories available
1083,Dry vermouth,ENG,pending,skipped,2025-08-20T19:21:47.508896,No subcategories available
1081,Pineappleb,ENG,pending,skipped,2025-08-20T19:21:47.508203,No subcategories available
1080,E fresh lime juice,ENG,pending,skipped,2025-08-20T19:21:47.509609,No subcategories available
1082,"High-quality gin (such as bombay
sapphire)",ENG,pending,skipped,2025-08-20T19:21:47.508659,No subcategories available
1087,Chilled club soda,ENG,completed,pending,2025-08-20T19:21:52.635956,
1089,Calvados or apple brandy,ENG,completed,pending,2025-08-20T19:21:52.726715,
1085,"Cucumber (preferably
english cucumber)",ENG,completed,pending,2025-08-20T19:21:53.319065,
1086,Applejack (or calvados),ENG,completed,pending,2025-08-20T19:21:53.749875,
1088,1½ ounces,ENG,completed,pending,2025-08-20T19:21:54.209861,
1085,"Cucumber (preferably
english cucumber)",ENG,pending,skipped,2025-08-20T19:21:55.219661,No subcategories available
1087,Chilled club soda,ENG,pending,skipped,2025-08-20T19:21:55.219837,No subcategories available
1088,1½ ounces,ENG,pending,completed,2025-08-20T19:21:59.396195,
1089,Calvados or apple brandy,ENG,pending,completed,2025-08-20T19:21:59.396697,
1086,Applejack (or calvados),ENG,pending,completed,2025-08-20T19:21:59.925966,
1090,Chilled ginger ale,ENG,completed,pending,2025-08-20T19:22:05.415569,
1091,Cointreau or triple sec,ENG,completed,pending,2025-08-20T19:22:05.873548,
1094,Cointreau (or triple sec),ENG,completed,pending,2025-08-20T19:22:05.885121,
1093,Fresh lemon (or lime) juice,ENG,completed,pending,2025-08-20T19:22:06.004568,
1092,Brandy (or cognac),ENG,completed,pending,2025-08-20T19:22:07.483541,
1093,Fresh lemon (or lime) juice,ENG,pending,skipped,2025-08-20T19:22:08.491229,No subcategories available
1090,Chilled ginger ale,ENG,pending,skipped,2025-08-20T19:22:08.491763,No subcategories available
1091,Cointreau or triple sec,ENG,pending,completed,2025-08-20T19:22:11.947368,
1092,Brandy (or cognac),ENG,pending,completed,2025-08-20T19:22:11.972131,
1094,Cointreau (or triple sec),ENG,pending,completed,2025-08-20T19:22:12.932917,
1095,Calvados (or other apple brandy),ENG,completed,pending,2025-08-20T19:22:18.443194,
1097,Calvados (or applejack),ENG,completed,pending,2025-08-20T19:22:19.045134,
1098,Cognac (or brandy),ENG,completed,pending,2025-08-20T19:22:19.411500,
1096,Kirsch (or other cherry brandy),ENG,completed,pending,2025-08-20T19:22:20.632628,
1099,Fresh lime  juice,ENG,completed,pending,2025-08-20T19:22:20.824921,
1099,Fresh lime  juice,ENG,pending,skipped,2025-08-20T19:22:21.840321,No subcategories available
1098,Cognac (or brandy),ENG,pending,completed,2025-08-20T19:22:25.451661,
1097,Calvados (or applejack),ENG,pending,completed,2025-08-20T19:22:26.073427,
1095,Calvados (or other apple brandy),ENG,pending,completed,2025-08-20T19:22:27.258360,
1096,Kirsch (or other cherry brandy),ENG,pending,completed,2025-08-20T19:22:28.612828,
1103,Egg white (optional,ENG,completed,pending,2025-08-20T19:22:34.222781,
1102,Chilled apple cider,ENG,completed,pending,2025-08-20T19:22:34.815379,
1104,"Chilled prosecco (or other
dry sparkling wine)",ENG,completed,pending,2025-08-20T19:22:35.247364,
1100,Crème de noyaux (or amaretto),ENG,completed,pending,2025-08-20T19:22:35.879606,
1101,Dry sherry,ENG,completed,pending,2025-08-20T19:22:36.870097,
1104,"Chilled prosecco (or other
dry sparkling wine)",ENG,pending,skipped,2025-08-20T19:22:37.878519,No subcategories available
1101,Dry sherry,ENG,pending,skipped,2025-08-20T19:22:37.876804,No subcategories available
1103,Egg white (optional,ENG,pending,skipped,2025-08-20T19:22:37.879441,No subcategories available
1102,Chilled apple cider,ENG,pending,completed,2025-08-20T19:22:42.686864,
1100,Crème de noyaux (or amaretto),ENG,pending,completed,2025-08-20T19:22:43.275494,
1108,Small fresh mint leaves,ENG,completed,pending,2025-08-20T19:22:48.698398,
1106,Chilled guinnes,ENG,completed,pending,2025-08-20T19:22:49.066246,
1109,"Chilled prosecco (or
champagne)",ENG,completed,pending,2025-08-20T19:22:49.631450,
