id,created_at,updated_at,language,name,description,category_id
388,2025-08-18 16:04:53.974367+00,2025-08-18 16:04:53.974377+00,RUS,Красное сухое,NULL,40
389,2025-08-18 16:04:53.975757+00,2025-08-18 16:04:53.975761+00,ENG,Red dry,NULL,50
390,2025-08-18 16:04:53.977352+00,2025-08-18 16:04:53.977357+00,RUS,Красное полусухое,NULL,40
391,2025-08-18 16:04:53.978216+00,2025-08-18 16:04:53.978221+00,ENG,Red semi dry,NULL,50
392,2025-08-18 16:04:53.979802+00,2025-08-18 16:04:53.979808+00,RUS,Красное сладкое,NULL,40
393,2025-08-18 16:04:53.980792+00,2025-08-18 16:04:53.980797+00,ENG,Red sweet,NULL,50
394,2025-08-18 16:04:53.982326+00,2025-08-18 16:04:53.98233+00,RUS,Красное полусладкое,NULL,40
395,2025-08-18 16:04:53.983428+00,2025-08-18 16:04:53.983432+00,ENG,Red demi-sec,NULL,50
396,2025-08-18 16:04:53.984881+00,2025-08-18 16:04:53.984885+00,RUS,Белое сухое,NULL,40
397,2025-08-18 16:04:53.985693+00,2025-08-18 16:04:53.985697+00,ENG,White dry,NULL,50
398,2025-08-18 16:04:53.987065+00,2025-08-18 16:04:53.987068+00,RUS,Белое полусухое,NULL,40
399,2025-08-18 16:04:53.98786+00,2025-08-18 16:04:53.987863+00,ENG,White semi-dry,NULL,50
400,2025-08-18 16:04:53.98918+00,2025-08-18 16:04:53.989184+00,RUS,Белое сладкое,NULL,40
401,2025-08-18 16:04:53.989962+00,2025-08-18 16:04:53.989966+00,ENG,White sweet,NULL,50
402,2025-08-18 16:04:53.991368+00,2025-08-18 16:04:53.991371+00,RUS,Белое полусладкое,NULL,40
403,2025-08-18 16:04:53.992194+00,2025-08-18 16:04:53.992197+00,ENG,White semi-sweet,NULL,50
404,2025-08-18 16:04:53.99354+00,2025-08-18 16:04:53.993544+00,RUS,Игристое,NULL,40
405,2025-08-18 16:04:53.994438+00,2025-08-18 16:04:53.994443+00,ENG,Sparkling,NULL,50
406,2025-08-18 16:04:53.99599+00,2025-08-18 16:04:53.995996+00,RUS,Розовое,NULL,40
407,2025-08-18 16:04:53.997035+00,2025-08-18 16:04:53.997042+00,ENG,Rose,NULL,50
408,2025-08-18 16:04:53.999169+00,2025-08-18 16:04:53.999179+00,RUS,Оранжевое,NULL,40
409,2025-08-18 16:04:54.000369+00,2025-08-18 16:04:54.000375+00,ENG,Orange,NULL,50
410,2025-08-18 16:04:54.00218+00,2025-08-18 16:04:54.002186+00,RUS,Тихое,NULL,40
411,2025-08-18 16:04:54.00312+00,2025-08-18 16:04:54.003124+00,ENG,Still,NULL,50
412,2025-08-18 16:04:54.00459+00,2025-08-18 16:04:54.004594+00,RUS,Экстра брют,NULL,40
413,2025-08-18 16:04:54.005427+00,2025-08-18 16:04:54.00543+00,ENG,Extra Brut,NULL,50
414,2025-08-18 16:04:54.006794+00,2025-08-18 16:04:54.006797+00,RUS,Брют,NULL,40
415,2025-08-18 16:04:54.007606+00,2025-08-18 16:04:54.00761+00,ENG,Brut,NULL,50
416,2025-08-18 16:04:54.008984+00,2025-08-18 16:04:54.008988+00,RUS,Пшеничное пиво,NULL,53
417,2025-08-18 16:04:54.009756+00,2025-08-18 16:04:54.00976+00,ENG,Witbier,NULL,6
418,2025-08-18 16:04:54.01164+00,2025-08-18 16:04:54.011644+00,RUS,Берлинское белое,NULL,53
419,2025-08-18 16:04:54.01255+00,2025-08-18 16:04:54.012554+00,ENG,Berliner Weisse,NULL,6
420,2025-08-18 16:04:54.014529+00,2025-08-18 16:04:54.01454+00,RUS,Блонд эль,NULL,53
421,2025-08-18 16:04:54.015926+00,2025-08-18 16:04:54.015937+00,ENG,Blonde Ale,NULL,6
422,2025-08-18 16:04:54.017677+00,2025-08-18 16:04:54.017683+00,RUS,Пейл-эль,NULL,53
423,2025-08-18 16:04:54.018658+00,2025-08-18 16:04:54.018663+00,ENG,Pale Ale,NULL,6
424,2025-08-18 16:04:54.020363+00,2025-08-18 16:04:54.020367+00,RUS,Кёльш,NULL,53
425,2025-08-18 16:04:54.021211+00,2025-08-18 16:04:54.021215+00,ENG,Kölsch,NULL,6
426,2025-08-18 16:04:54.022592+00,2025-08-18 16:04:54.022595+00,RUS,Золотой эль,NULL,53
427,2025-08-18 16:04:54.023407+00,2025-08-18 16:04:54.023411+00,ENG,Golden Ale,NULL,6
428,2025-08-18 16:04:54.024785+00,2025-08-18 16:04:54.024789+00,RUS,Трипель,NULL,53
429,2025-08-18 16:04:54.025619+00,2025-08-18 16:04:54.025623+00,ENG,Tripel,NULL,6
430,2025-08-18 16:04:54.027152+00,2025-08-18 16:04:54.027156+00,RUS,Сезонный эль,NULL,53
431,2025-08-18 16:04:54.027905+00,2025-08-18 16:04:54.027909+00,ENG,Saison Ale,NULL,6
432,2025-08-18 16:04:54.029288+00,2025-08-18 16:04:54.029293+00,RUS,Английский биттер,NULL,53
433,2025-08-18 16:04:54.030292+00,2025-08-18 16:04:54.030301+00,ENG,English Bitter,NULL,6
434,2025-08-18 16:04:54.032428+00,2025-08-18 16:04:54.03244+00,RUS,Красный эль,NULL,53
435,2025-08-18 16:04:54.03359+00,2025-08-18 16:04:54.033596+00,ENG,Red Ale,NULL,6
436,2025-08-18 16:04:54.035225+00,2025-08-18 16:04:54.035229+00,RUS,Дуббель,NULL,53
437,2025-08-18 16:04:54.036112+00,2025-08-18 16:04:54.036115+00,ENG,Dubbel,NULL,6
438,2025-08-18 16:04:54.037519+00,2025-08-18 16:04:54.037523+00,RUS,Старый эль,NULL,53
439,2025-08-18 16:04:54.038343+00,2025-08-18 16:04:54.038346+00,ENG,Old Ale,NULL,6
440,2025-08-18 16:04:54.039723+00,2025-08-18 16:04:54.039727+00,RUS,Янтарный эль,NULL,53
441,2025-08-18 16:04:54.040475+00,2025-08-18 16:04:54.040479+00,ENG,Amber Ale,NULL,6
442,2025-08-18 16:04:54.041867+00,2025-08-18 16:04:54.041871+00,RUS,Квадрупель,NULL,53
443,2025-08-18 16:04:54.042642+00,2025-08-18 16:04:54.042646+00,ENG,Quadrupel,NULL,6
444,2025-08-18 16:04:54.04412+00,2025-08-18 16:04:54.044125+00,RUS,Мягкий эль,NULL,53
445,2025-08-18 16:04:54.044913+00,2025-08-18 16:04:54.044917+00,ENG,Mild Ale,NULL,6
446,2025-08-18 16:04:54.046336+00,2025-08-18 16:04:54.046341+00,RUS,Старое коричневое,NULL,53
447,2025-08-18 16:04:54.047427+00,2025-08-18 16:04:54.047438+00,ENG,Oud Bruin,NULL,6
448,2025-08-18 16:04:54.049545+00,2025-08-18 16:04:54.049553+00,RUS,Тёмное пшеничное,NULL,53
449,2025-08-18 16:04:54.050589+00,2025-08-18 16:04:54.050593+00,ENG,Dunkelweizen,NULL,6
450,2025-08-18 16:04:54.052156+00,2025-08-18 16:04:54.052161+00,RUS,Коричневый эль,NULL,53
451,2025-08-18 16:04:54.053007+00,2025-08-18 16:04:54.053011+00,ENG,Brown Ale,NULL,6
452,2025-08-18 16:04:54.054557+00,2025-08-18 16:04:54.054562+00,RUS,Портер,NULL,53
453,2025-08-18 16:04:54.05557+00,2025-08-18 16:04:54.055574+00,ENG,Porter,NULL,6
454,2025-08-18 16:04:54.05696+00,2025-08-18 16:04:54.056964+00,RUS,Стаут,NULL,53
455,2025-08-18 16:04:54.057717+00,2025-08-18 16:04:54.05772+00,ENG,Stout,NULL,6
456,2025-08-18 16:04:54.059085+00,2025-08-18 16:04:54.059089+00,RUS,Мюнхенское светлое,NULL,53
457,2025-08-18 16:04:54.059842+00,2025-08-18 16:04:54.059846+00,ENG,Münchener Hell,NULL,6
458,2025-08-18 16:04:54.061178+00,2025-08-18 16:04:54.061182+00,RUS,Пильзнер,NULL,53
459,2025-08-18 16:04:54.061977+00,2025-08-18 16:04:54.061981+00,ENG,Pilsner,NULL,6
460,2025-08-18 16:04:54.063493+00,2025-08-18 16:04:54.063501+00,RUS,Экспорт (дортмундер),NULL,53
461,2025-08-18 16:04:54.064839+00,2025-08-18 16:04:54.064848+00,ENG,Dortmunder,NULL,6
462,2025-08-18 16:04:54.066734+00,2025-08-18 16:04:54.066757+00,RUS,Майбок,NULL,53
463,2025-08-18 16:04:54.067615+00,2025-08-18 16:04:54.06762+00,ENG,Maibock,NULL,6
464,2025-08-18 16:04:54.069212+00,2025-08-18 16:04:54.069217+00,RUS,Венский лагер,NULL,53
465,2025-08-18 16:04:54.070022+00,2025-08-18 16:04:54.070026+00,ENG,Wiener Lager,NULL,6
466,2025-08-18 16:04:54.07137+00,2025-08-18 16:04:54.071374+00,RUS,Келлербир,NULL,53
467,2025-08-18 16:04:54.0722+00,2025-08-18 16:04:54.072204+00,ENG,Kellerbier,NULL,6
468,2025-08-18 16:04:54.073527+00,2025-08-18 16:04:54.07353+00,RUS,Доппельбок,NULL,53
469,2025-08-18 16:04:54.074332+00,2025-08-18 16:04:54.074336+00,ENG,Doppelbock,NULL,6
470,2025-08-18 16:04:54.075723+00,2025-08-18 16:04:54.075727+00,RUS,Бок,NULL,53
471,2025-08-18 16:04:54.076533+00,2025-08-18 16:04:54.076537+00,ENG,Bock,NULL,6
472,2025-08-18 16:04:54.077976+00,2025-08-18 16:04:54.077981+00,RUS,Пшеничный бок,NULL,53
473,2025-08-18 16:04:54.078863+00,2025-08-18 16:04:54.078867+00,ENG,Weizenbock,NULL,6
474,2025-08-18 16:04:54.081049+00,2025-08-18 16:04:54.08106+00,RUS,Тёмный лагер,NULL,53
475,2025-08-18 16:04:54.082449+00,2025-08-18 16:04:54.082457+00,ENG,Dunkel Lager,NULL,6
476,2025-08-18 16:04:54.084443+00,2025-08-18 16:04:54.084449+00,RUS,Айсбок,NULL,53
477,2025-08-18 16:04:54.085336+00,2025-08-18 16:04:54.085341+00,ENG,Eisbock,NULL,6
478,2025-08-18 16:04:54.086737+00,2025-08-18 16:04:54.086742+00,RUS,Чёрное пиво,NULL,53
479,2025-08-18 16:04:54.087596+00,2025-08-18 16:04:54.0876+00,ENG,Schwarzbier,NULL,6
480,2025-08-18 16:04:54.089035+00,2025-08-18 16:04:54.08904+00,RUS,Лёгкое пиво,NULL,53
481,2025-08-18 16:04:54.089926+00,2025-08-18 16:04:54.08993+00,ENG,Light/Lite bee,NULL,6
482,2025-08-18 16:04:54.091738+00,2025-08-18 16:04:54.091758+00,RUS,Сливочный эль,NULL,53
483,2025-08-18 16:04:54.09261+00,2025-08-18 16:04:54.092614+00,ENG,Cream Ale,NULL,6
484,2025-08-18 16:04:54.094087+00,2025-08-18 16:04:54.094092+00,RUS,Ламбик,NULL,53
485,2025-08-18 16:04:54.094969+00,2025-08-18 16:04:54.094974+00,ENG,Lambic,NULL,6
486,2025-08-18 16:04:54.096742+00,2025-08-18 16:04:54.096759+00,RUS,Мартовское пиво/Октоберфест,NULL,53
487,2025-08-18 16:04:54.097873+00,2025-08-18 16:04:54.097882+00,ENG,Märzen/Oktoberfestbier,NULL,6
488,2025-08-18 16:04:54.09968+00,2025-08-18 16:04:54.099688+00,RUS,Бьер-де-Гард,NULL,53
489,2025-08-18 16:04:54.100677+00,2025-08-18 16:04:54.100681+00,ENG,Bière de Garde,NULL,6
490,2025-08-18 16:04:54.102212+00,2025-08-18 16:04:54.102216+00,RUS,Барливайн,NULL,53
491,2025-08-18 16:04:54.102998+00,2025-08-18 16:04:54.103001+00,ENG,Barley wine,NULL,6
492,2025-08-18 16:04:54.104399+00,2025-08-18 16:04:54.104404+00,RUS,Альтбир,NULL,53
493,2025-08-18 16:04:54.105286+00,2025-08-18 16:04:54.10529+00,ENG,Altbier,NULL,6
494,2025-08-18 16:04:54.106731+00,2025-08-18 16:04:54.106736+00,RUS,Раухбир,NULL,53
495,2025-08-18 16:04:54.107652+00,2025-08-18 16:04:54.107656+00,ENG,Rauchbier,NULL,6
496,2025-08-18 16:04:54.109318+00,2025-08-18 16:04:54.109323+00,RUS,Анисовая,NULL,42
497,2025-08-18 16:04:54.110242+00,2025-08-18 16:04:54.110246+00,ENG,Aniseed vodka,NULL,14
498,2025-08-18 16:04:54.111834+00,2025-08-18 16:04:54.11184+00,RUS,Сливовая,NULL,42
499,2025-08-18 16:04:54.112949+00,2025-08-18 16:04:54.112955+00,ENG,Plum,NULL,14
500,2025-08-18 16:04:54.115248+00,2025-08-18 16:04:54.115272+00,RUS,Конопляная,NULL,42
501,2025-08-18 16:04:54.116556+00,2025-08-18 16:04:54.116564+00,ENG,Hemp,NULL,14
502,2025-08-18 16:04:54.118487+00,2025-08-18 16:04:54.118493+00,RUS,Полынная,NULL,42
503,2025-08-18 16:04:54.119393+00,2025-08-18 16:04:54.119397+00,ENG,Wormwood,NULL,14
504,2025-08-18 16:04:54.120925+00,2025-08-18 16:04:54.120929+00,RUS,Рисовая,NULL,42
505,2025-08-18 16:04:54.121682+00,2025-08-18 16:04:54.121685+00,ENG,Rice,NULL,14
506,2025-08-18 16:04:54.123013+00,2025-08-18 16:04:54.123017+00,RUS,Тросниковая,NULL,42
