Основная категория,Подкатегория,,Main category,Daughters category,,
Вино,Красное сухое,,Vine,Red dry,,
Вино,Красное полусухое,,Vine,Red semi dry,,
Вино,Красное сладкое,,Vine,Red sweet,,
Вино,Красное полусладкое,,Vine,Red demi-sec,,
Вино,Белое сухое,,Vine,White dry,,
Вино,Белое полусухое,,Vine,White semi-dry,,
Вино,Белое сладкое,,Vine,White sweet,,
Вино,Белое полусладкое,,Vine,White semi-sweet,,
Вино,Игристое,,Vine,Sparkling,,
Вино,Розовое,,Vine,Rose,,
Вино,Оранжевое,,Vine,Orange,,
Вино,Тихое,,Vine,Still,,
Вино,Экстра брют,,Vine,Extra Brut,,
Вино,Брют,,Vine,Brut,,
,,,,,,
Пиво,Пшеничное пиво,,Beer,Witbier,,
Пиво,Берлинское белое,,Beer,Berliner Weisse,,
Пиво,Блонд эль,,Beer,Blonde Ale,,
Пиво,Пейл-эль,,Beer,Pale Ale,,
Пиво,Кёльш,,Beer,Kölsch,,
Пиво,Золотой эль,,Beer,Golden Ale,,
Пиво,Трипель,,Beer,Tripel,,
Пиво,Сезонный эль,,Beer,Saison Ale,,
Пиво,Английский биттер,,Beer,English Bitter,,
Пиво,Красный эль,,Beer,Red Ale,,
Пиво,Дуббель,,Beer,Dubbel,,
Пиво,Старый эль,,Beer,Old Ale,,
Пиво,Янтарный эль,,Beer,Amber Ale,,
Пиво,Квадрупель,,Beer,Quadrupel,,
Пиво,Мягкий эль,,Beer,Mild Ale,,
Пиво,Старое коричневое,,Beer,Oud Bruin,,
Пиво,Тёмное пшеничное,,Beer,Dunkelweizen,,
Пиво,Коричневый эль,,Beer,Brown Ale,,
Пиво,Портер ,,Beer,Porter,,
Пиво,Стаут,,Beer,Stout,,
Пиво,Мюнхенское светлое,,Beer,Münchener Hell,,
Пиво,Пильзнер,,Beer,Pilsner,,
Пиво,Экспорт (дортмундер),,Beer,Dortmunder,,
Пиво,Майбок,,Beer,Maibock,,
Пиво,Венский лагер,,Beer,Wiener Lager,,
Пиво,Келлербир,,Beer,Kellerbier,,
Пиво,Доппельбок,,Beer,Doppelbock,,
Пиво,Бок,,Beer,Bock,,
Пиво,Пшеничный бок,,Beer,Weizenbock,,
Пиво,Тёмный лагер,,Beer,Dunkel Lager,,
Пиво,Айсбок,,Beer,Eisbock,,
Пиво,Чёрное пиво,,Beer,Schwarzbier,,
Пиво,Лёгкое пиво,,Beer,Light/Lite bee,,
Пиво,Сливочный эль,,Beer,Cream Ale,,
Пиво,Ламбик,,Beer,Lambic,,
Пиво,Мартовское пиво/Октоберфест,,Beer,Märzen/Oktoberfestbier,,
Пиво,Бьер-де-Гард,,Beer,Bière de Garde,,
Пиво,Барливайн,,Beer,Barley wine,,
