ingredient_id,ingredient_name,subcategory_name,subcategory_id,processing_time,error_description
1,151-proof demerara rum,Rum dark (black),388,0:00:03,
2,151-proof rum,,,0:00:04,
10,Alizé de france passion fruit liqueur,Liqueur fruit,203,0:00:02,
13,Amer picon,Liqueur herbal and spiced,207,0:00:02,
16,Angostura bitters,Liqueur herbal and spiced,1513,0:00:00,
17,Anisette,Liqueur herbal and spiced,207,0:00:02,
19,Apple brandy,Brandy calvados,219,0:00:02,
20,Apple cider,,,0:00:00,No subcategories available for category Wine
24,Apple schnapps,Vodka apple,124,0:00:02,
25,Applejack,,,0:00:02,
26,Apricot brandy,,,0:00:02,
27,Apricot liqueur,Liqueur fruit,203,0:00:02,
34,Banana liqueur,Liquors liqueur,243,0:00:02,
36,Beaujolais,,,0:00:00,No subcategories available for category Wine
38,Bitter lemon,Ликер фруктовый,1509,0:00:00,
39,Bitter orange,Ликер фруктовый,1509,0:00:00,
41,Black currant vodka,Vodka berry,128,0:00:02,
45,Blackberry brandy,,,0:00:02,
46,Blanco rum,"Rum white (silver, light)",150,0:00:02,
47,Blended american whiskey,Whiskey blended whisky,162,0:00:02,
48,Blended canadian whisky,Whiskey blended whisky,162,0:00:02,
49,Blended scotch,Whiskey blended whisky,162,0:00:02,
50,Blended whiskey,Whiskey blended whisky,162,0:00:02,
51,Blue curaçao,Liqueur fruit,203,0:00:02,
53,Bombay sapphire gin,Gin london dry gin,138,0:00:02,
54,Bourbon,Whiskey bourbon,166,0:00:02,
61,Brown ale,Beer brown ale,64,0:00:02,
62,Brown crème de cacao,,,0:00:02,
66,Butterscotch schnapps,,,0:00:02,
67,Bénédictine,Liqueur herbal and spiced,207,0:00:02,
68,Cabernet sauvignon,,,0:00:00,No subcategories available for category Wine
69,Cachaça,Vodka cane,120,0:00:03,
71,Calvados,Brandy calvados,1519,0:00:02,
72,Campari,Liqueur herbal and spiced,207,0:00:02,
73,Campari bitter,Ликер травяной и пряный,206,0:00:02,
74,Canadian blended whisky,Whiskey blended whisky,162,0:00:03,
75,Canadian whisky,Whiskey blended whisky,162,0:00:03,
76,Candied ginger,,,0:00:00,No subcategories available for category Vegetables
77,Canton ginger liqueur,Liqueur herbal and spiced,207,0:00:02,
78,Captain morgan spiced rum,Rum golden (amber),152,0:00:02,
83,Chambord,Liqueur berry,213,0:00:02,
84,Champagne,,,0:00:00,No subcategories available for category Wine
86,Cherry brandy,Liqueur berry,428,0:00:02,
87,Cherry heering,Liqueur fruit,203,0:00:02,
97,Citron rum,"Rum white (silver, light)",1492,0:00:02,
98,Citron vodka,Vodka citrus,130,0:00:02,
99,Citrus vodka,Vodka citrus,130,0:00:02,
107,Coconut rum,"Rum white (silver, light)",1492,0:00:02,
109,Cofee liqueur,Liqueur coffee,205,0:00:02,
111,Coffee liqueur,Liqueur coffee,205,0:00:03,
113,Cointreau,Liqueur fruit,203,0:00:02,
123,Creme de menthe,Ликер мятный,208,0:00:02,
124,Crème de banane,Liqueur fruit,203,0:00:38,
125,Crème de cacao,,,0:00:02,
126,Crème de cassis,Liqueur berry,213,0:00:02,
127,Crème de fraise,Liqueur berry,213,0:00:02,
128,Crème de frambois,Liqueur berry,213,0:00:02,
129,Crème de framboise,Liqueur berry,213,0:00:02,
130,Crème de menthe,Liqueur mint,209,0:00:02,
132,Crème de noyaux,Liqueur nut,215,0:00:02,
133,Crème de pêche,Liqueur fruit,203,0:00:02,
134,Crème de violette,,,0:00:02,
143,Cynar,Liqueur herbal and spiced,207,0:00:03,
144,Damiana liqueur,Liqueur herbal and spiced,207,0:00:03,
